epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,15257.9,1.31337,0.80566,0.97287,0.65894,0.39042,0.42876,0.23708,1.28053,0.7346,0.94609,0.003862,0.003862,0.003862
64,16665.4,1.31505,0.80724,0.9737,0.65766,0.3919,0.4293,0.23717,1.27999,0.73417,0.94587,0.003763,0.003763,0.003763
65,18020.4,1.31411,0.80639,0.97257,0.65829,0.39254,0.42975,0.23756,1.27931,0.7338,0.94551,0.003664,0.003664,0.003664
66,19718.5,1.31132,0.80349,0.97245,0.65877,0.39279,0.42998,0.23785,1.2788,0.73343,0.9452,0.003565,0.003565,0.003565
67,21273.5,1.31065,0.80187,0.97192,0.65608,0.39351,0.43054,0.23823,1.27814,0.73288,0.9449,0.003466,0.003466,0.003466
68,22500.4,1.31042,0.80329,0.9712,0.65593,0.39364,0.43118,0.23859,1.27765,0.73239,0.94464,0.003367,0.003367,0.003367
69,23805.8,1.30914,0.80207,0.97117,0.65843,0.3921,0.43202,0.23908,1.27708,0.73183,0.94442,0.003268,0.003268,0.003268
70,25025.7,1.30542,0.7985,0.97044,0.65674,0.3948,0.43337,0.23978,1.27648,0.73144,0.94415,0.003169,0.003169,0.003169
71,26219.8,1.30491,0.79701,0.96995,0.65583,0.39668,0.43393,0.24031,1.27581,0.731,0.94385,0.00307,0.00307,0.00307
72,27413.7,1.3047,0.79635,0.96967,0.65853,0.39683,0.4345,0.24053,1.2754,0.73055,0.9436,0.002971,0.002971,0.002971
73,28613.9,1.30268,0.79356,0.96838,0.65856,0.39704,0.43489,0.24091,1.27492,0.7302,0.94328,0.002872,0.002872,0.002872
74,29815.7,1.30214,0.79241,0.96821,0.66108,0.39734,0.43515,0.24113,1.27456,0.72978,0.94305,0.002773,0.002773,0.002773
75,31004.4,1.30071,0.79157,0.96772,0.66607,0.39681,0.43586,0.24135,1.27415,0.72937,0.94277,0.002674,0.002674,0.002674
76,32210.6,1.29872,0.78915,0.96649,0.66214,0.39884,0.43588,0.24169,1.27363,0.72895,0.94252,0.002575,0.002575,0.002575
77,33442.7,1.29683,0.7875,0.96648,0.66523,0.3971,0.43653,0.24205,1.27306,0.72857,0.94223,0.002476,0.002476,0.002476
78,34660.2,1.29421,0.78613,0.96556,0.66335,0.3977,0.43679,0.24238,1.27245,0.72821,0.94196,0.002377,0.002377,0.002377
79,35898.9,1.29456,0.7849,0.965,0.66202,0.39815,0.437,0.24257,1.27199,0.7278,0.94171,0.002278,0.002278,0.002278
80,37123.7,1.29422,0.78386,0.96504,0.66563,0.39654,0.43737,0.2428,1.27151,0.72746,0.94143,0.002179,0.002179,0.002179
81,38356.9,1.2904,0.78044,0.96379,0.66634,0.39626,0.43761,0.24323,1.27092,0.72714,0.9411,0.00208,0.00208,0.00208
82,39599.4,1.29092,0.77968,0.96386,0.66671,0.39708,0.43813,0.24353,1.27046,0.7268,0.94082,0.001981,0.001981,0.001981
83,40794.2,1.28695,0.77657,0.96234,0.66944,0.39681,0.43874,0.24398,1.26984,0.72629,0.94047,0.001882,0.001882,0.001882
84,41988.8,1.28473,0.77417,0.96113,0.66927,0.39723,0.4387,0.2441,1.26922,0.72583,0.94009,0.001783,0.001783,0.001783
85,43181.3,1.28345,0.77421,0.96152,0.66555,0.39848,0.43904,0.24448,1.26876,0.7255,0.93984,0.001684,0.001684,0.001684
86,44380,1.28405,0.77234,0.96176,0.66799,0.39858,0.43965,0.24483,1.26822,0.72512,0.93959,0.001585,0.001585,0.001585
87,45572,1.27897,0.76917,0.96011,0.66762,0.39874,0.43994,0.24521,1.2676,0.72468,0.9393,0.001486,0.001486,0.001486
88,46765.8,1.27678,0.76797,0.95919,0.66799,0.39894,0.44077,0.24559,1.26704,0.72414,0.93901,0.001387,0.001387,0.001387
89,47951.7,1.2755,0.76488,0.95823,0.66955,0.3994,0.44065,0.24572,1.26658,0.7236,0.93873,0.001288,0.001288,0.001288
90,49147.1,1.27498,0.76528,0.95908,0.66885,0.40012,0.44137,0.24609,1.2663,0.72327,0.9385,0.001189,0.001189,0.001189
91,50366.9,1.31142,0.76127,0.96087,0.67308,0.39926,0.44186,0.24639,1.26597,0.72308,0.93829,0.00109,0.00109,0.00109
92,51510.7,1.30547,0.75663,0.95901,0.67265,0.39976,0.44206,0.24663,1.26583,0.72317,0.93813,0.000991,0.000991,0.000991
93,52728.7,1.30379,0.75399,0.95861,0.67431,0.3995,0.44215,0.2468,1.26552,0.72304,0.93791,0.000892,0.000892,0.000892
94,53977.3,1.30115,0.75089,0.95753,0.67724,0.39832,0.44247,0.24704,1.2655,0.72278,0.9378,0.000793,0.000793,0.000793
95,55202.1,1.29814,0.74769,0.95677,0.67663,0.39962,0.44288,0.24727,1.26531,0.72244,0.93771,0.000694,0.000694,0.000694
96,56441.8,1.29686,0.74575,0.95645,0.67089,0.401,0.44287,0.24752,1.26516,0.72218,0.93767,0.000595,0.000595,0.000595
97,57784.4,1.29322,0.74121,0.95478,0.67182,0.401,0.44351,0.24773,1.26507,0.72194,0.93746,0.000496,0.000496,0.000496
98,59002.8,1.29118,0.73912,0.95393,0.67387,0.39988,0.44363,0.24795,1.26492,0.72168,0.93728,0.000397,0.000397,0.000397
99,60175.3,1.28863,0.73591,0.95386,0.6726,0.4005,0.44373,0.24788,1.2648,0.72141,0.93718,0.000298,0.000298,0.000298
100,61361.1,1.28692,0.73349,0.95298,0.67424,0.39941,0.44377,0.24805,1.26481,0.72109,0.93704,0.000199,0.000199,0.000199
